restaurant,RestaurantID,RestaurantName,RestaurantCity,RestaurantAttributes
000000C,0C,Moti Mahal,Chicago,Buffet Dining Carry in Wine and Beer Fair Decor Excellent Food Indian No Reservations below $15 Good Service Short Drive 
000001C,1C,Village,Chicago,After Hours Dining Cab Extraordinary Decor Excellent Food Italian Late Night Menu $15-$30 Parking/Valet Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Weekend Brunch 
000002C,2C,Millrose Brewing Company,Chicago,American (Traditional) Extraordinary Decor Excellent Food Long Drive $15-$30 Parking/Valet Private Parties Private Rooms Available Pub Feel Excellent Service See the Game Singles Scene Weekend Brunch 
000003C,3C,Dover Straits,Chicago,Excellent Decor Excellent Food Long Drive $15-$30 Parking/Valet Pre-theater Dining Excellent Service Seafood Weekend Brunch 
000004C,4C,Eat Your Hearts Out,Chicago,Creative Excellent Decor Excellent Food Health Conscious Menus Health Food $15-$30 Quirky Excellent Service Short Drive Weekend Brunch 
000005C,5C,Pizzeria Uno & Due,Chicago,After Hours Dining Cab Good Decor Extraordinary Food For the Young and Young at Heart Good for Younger Kids Late Night Menu No Reservations below $15 Pizza Good Service Weekend Brunch 
000006C,6C,Trattoria Franco,Chicago,Good Decor Good Food Italian Little Known But Well Liked $15-$30 Good Service Short Drive 
000007C,7C,Little Bucharest,Chicago,After Hours Dining Good Decor Good Food Late Night Menu $15-$30 Relaxed Senior Scene Roumanian Excellent Service Short Drive Weekend Brunch 
000008C,8C,Pattaya,Chicago,Cab Fair Decor Good Food below $15 Excellent Service Thai 
000009C,9C,House of Hunan,Chicago,Buffet Dining Business Scene Cab Chinese Good Decor Excellent Food $15-$30 Private Parties Private Rooms Available Excellent Service 
0000010C,10C,Morton's of Chicago,Chicago,Business Scene Excellent Decor Extraordinary Food Good Out of Town Business Hip Place To Be Long Drive $30-$50 Parking/Valet Power Brokers Private Parties Private Rooms Available Extraordinary Service Steakhouses Very Busy - Reservations a Must Weekend Brunch 
0000011C,11C,Jezebel,Chicago,Excellent Decor Excellent Food Italian Mediterranean $15-$30 Parking/Valet Quiet for Conversation Romantic Excellent Service Short Drive Weekend Brunch 
0000012C,12C,Capri,Chicago,Fair Decor Excellent Food Italian Long Drive $15-$30 Parking/Valet Good Service Weekend Brunch 
0000013C,13C,Don Roth's,Chicago,American (Traditional) Excellent Decor Dining Outdoors Excellent Food Long Drive $15-$30 Parking/Valet Excellent Service Walk Weekend Brunch 
0000014C,14C,Tucci Benucch,Chicago,Cab Excellent Decor Excellent Food Italian $15-$30 Pizza Private Parties Private Rooms Available Excellent Service Weekend Brunch 
0000015C,15C,Rim Klong,Chicago,Good Decor Excellent Food below $15 Excellent Service Short Drive Thai 
0000016C,16C,Four Farthings Tavern & Grill,Chicago,American (New) American (Traditional) Buffet Dining Excellent Decor Dining Outdoors Excellent Food $15-$30 Place for Singles Pub Feel Excellent Service See the Game Short Drive Singles Scene Weekend Brunch 
0000017C,17C,Skip's Other Place,Chicago,American (Traditional) Good Decor Excellent Food Good for Younger Kids Long Drive $15-$30 Parking/Valet Private Parties Private Rooms Available Relaxed Senior Scene Excellent Service Steakhouses Weekend Brunch 
0000018C,18C,Papa Milano,Chicago,Cab Good Decor Excellent Food Italian $15-$30 Relaxed Senior Scene Good Service Weekend Brunch 
0000019C,19C,Gladys Luncheonette,Chicago,Fair Decor Extraordinary Food Little Known But Well Liked No Liquor Served Open for Breakfast below $15 Parking/Valet Excellent Service Short Drive Soulfood Southern Weekend Brunch 
0000020C,20C,Harry's Velvet Room,Chicago,After Hours Dining American (Traditional) Cab Good Decor Good Food Italian Late Night Menu $15-$30 Quiet for Conversation Romantic Good Service 
0000021C,21C,Jaxx,Chicago,Business Scene Cab Classic Hotel Dining Continental Extraordinary Decor Dining Outdoors English Excellent Food $30-$50 Parking/Valet Private Parties Private Rooms Available Excellent Service Weekend Brunch 
0000022C,22C,Bangkok Star,Chicago,Good Decor Excellent Food below $15 Excellent Service Short Drive Thai 
0000023C,23C,Cafe,Chicago,After Hours Dining American (New) Business Scene Cab Classic Hotel Dining Extraordinary Decor Extraordinary Food Late Night Menu Little Known But Well Liked $15-$30 Parking/Valet Near-perfect Service Weekend Brunch 
0000024C,24C,Timbers Charhouse,Chicago,American (Traditional) Excellent Decor Excellent Food Good for Younger Kids Long Drive $15-$30 Parking/Valet Excellent Service Weekend Brunch 
0000025C,25C,El Jardin,Chicago,Good Decor Dining Outdoors Good Food Margaritas Mexican $15-$30 People Keep Coming Back Good Service Short Drive Weekend Brunch 
0000026C,26C,Signature Room at the 95th,Chicago,American (New) Buffet Dining Business Scene Cab Extraordinary Decor Dancing Entertainment Excellent Food Good Out of Town Business Great Place to Meet for a Drink $30-$50 Parking/Valet Romantic Excellent Service 
0000027C,27C,DINING ROOM,Chicago,Business Scene Cab Classic Hotel Dining Near-perfect Decor Near-perfect Food French (New) Game Good Out of Town Business Health Conscious Menus Need To Dress over $50 Parking/Valet Pre-theater Dining Prix Fixe Menus Romantic Near-perfect Service Very Busy - Reservations a Must 
0000028C,28C,Hamburger Hamlet,Chicago,Cab Good Decor Good Food For the Young and Young at Heart Good for Younger Kids Hamburgers below $15 People Keep Coming Back Good Service Weekend Brunch 
0000029C,29C,Petros Dianna's,Chicago,Excellent Decor Good Food Greek $15-$30 Parking/Valet Private Parties Private Rooms Available Good Service Short Drive Weekend Brunch 
0000030C,30C,Waterfront,Chicago,After Hours Dining Cab Excellent Decor Excellent Food Late Night Menu $15-$30 Excellent Service Seafood Weekend Brunch 
0000031C,31C,Walter's,Chicago,American (Traditional) Excellent Decor Extraordinary Food Little Known But Well Liked Long Drive $30-$50 Private Parties Private Rooms Available Quiet for Conversation Romantic Excellent Service Seafood 
0000032C,32C,Thai Touch,Chicago,Good Decor Extraordinary Food $15-$30 Relaxed Senior Scene Excellent Service Short Drive Thai 
0000033C,33C,Silk Mandarin,Chicago,Creative Chinese Excellent Decor Excellent Food Long Drive $15-$30 Excellent Service 
0000034C,34C,Mambo Grill,Chicago,Authentic After Hours Dining Cab Excellent Decor Excellent Food Late Night Menu $15-$30 Place for Singles Excellent Service Spanish Tapas Weekend Brunch 
0000035C,35C,L'Olive,Chicago,Good Decor Good Food Middle Eastern Moroccan $15-$30 Good Service Short Drive Weekend Brunch 
0000036C,36C,Sukumvit Cafe,Chicago,Creative Cab Carry in Wine and Beer Poor Decor Excellent Food below $15 Fair Service Thai 
0000037C,37C,Little Spain,Chicago,Good Decor Dancing Entertainment Extraordinary Food Little Known But Well Liked $15-$30 Relaxed Senior Scene Excellent Service Short Drive Spanish Weekend Brunch 
0000038C,38C,Shaw's Deerfield,Chicago,Business Scene Excellent Decor Excellent Food Long Drive $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Seafood Very Busy - Reservations a Must Weekend Brunch 
0000039C,39C,Sylviano's,Chicago,Good Decor Good Food Italian Long Drive $15-$30 Good Service 
0000040C,40C,Rico's,Chicago,Cab Excellent Decor Excellent Food Italian $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Weekend Brunch 
0000041C,41C,Kennessey's Cypress,Chicago,Continental Excellent Decor Excellent Food Long Drive $15-$30 Parking/Valet Relaxed Senior Scene Excellent Service Traditional 
0000042C,42C,Jia's,Chicago,Chinese Good Decor Excellent Food $15-$30 Relaxed Senior Scene Excellent Service Short Drive Weekend Brunch 
0000043C,43C,Jilly's Cafe,Chicago,American (Traditional) An Out Of The Way Find Continental Excellent Decor Excellent Food Game Long Drive $15-$30 Quiet for Conversation Romantic Excellent Service Weekend Brunch 
0000044C,44C,Sarkis Grill,Chicago,American (Traditional) Coffee Shops Good Decor Diners Excellent Food For the Young and Young at Heart Good for Younger Kids Long Drive Open for Breakfast below $15 Parking/Valet Quirky Excellent Service Weekend Brunch 
0000045C,45C,Shilla,Chicago,Good Decor Excellent Food Korean $15-$30 Parking/Valet Good Service Short Drive 
0000046C,46C,I Tre Merli,Chicago,Business Scene Cab Excellent Decor Dining Outdoors Excellent Food Good Out of Town Business Great Place to Meet for a Drink Great for People Watching Italian $15-$30 Parking/Valet Good Service Weekend Brunch 
0000047C,47C,Dionne's,Chicago,An Out Of The Way Find Extraordinary Decor Near-perfect Food French Little Known But Well Liked Long Drive Need To Dress $15-$30 Romantic Extraordinary Service Walk 
0000048C,48C,Ristorante Italia,Chicago,Good Decor Excellent Food Italian $15-$30 Good Service Short Drive Weekend Brunch 
0000049C,49C,P.J. Clarke's,Chicago,American (Traditional) Cab Good Decor Good Food $15-$30 Place for Singles Private Parties Private Rooms Available Pub Feel Good Service See the Game Singles Scene Weekend Brunch 
0000050C,50C,Houston's,Chicago,American (Traditional) Business Scene Cab Classic Hotel Dining Excellent Decor Excellent Food $15-$30 Place for Singles Excellent Service Weekend Brunch 
0000051C,51C,Star of Siam,Chicago,Cab Good Decor Excellent Food below $15 Good Service Thai 
0000052C,52C,BISTRO 110,Chicago,Business Scene Cab Excellent Decor Dining Outdoors Extraordinary Food French Bistro Game Great Place to Meet for a Drink Hip Place To Be $15-$30 Parking/Valet Excellent Service Weekend Brunch 
0000053C,53C,Bones,Chicago,American (Traditional) Bar-B-Q Good Decor Excellent Food Long Drive $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Weekend Brunch 
