Index,RestaurantID,RestaurantName,RestaurantCity,RestaurantAttributes
0,0A,Tanner's,Atlanta,American (Traditional) Catering for Special Events Good Decor Delivery Available Dining Outdoors Good Food Good for Younger Kids below $15 Parking/Valet People Keep Coming Back Good Service Weekend Dining Wheelchair Access 
1,1A,Frijoleros,Atlanta,Good Decor Dining After the Theater Dining Outdoors Entertainment Excellent Food Late Night Menu Mexican below $15 Parking/Valet Quirky Good Service Tex-Mex Vegetarian Weekend Dining 
2,2A,Indian Delights,Atlanta,Catering for Special Events Fair Decor Delivery Available Extraordinary Food Fine for Dining Alone Indian No Smoking Allowed below $15 Parking/Valet Excellent Service Vegetarian Weekend Dining Wheelchair Access 
3,3A,Great Wall,Atlanta,Catering for Special Events Chinese Good Decor Excellent Food below $15 Parking/Valet Private Parties Private Rooms Available Good Service Wheelchair Access 
4,4A,The Brickery,Atlanta,American (Contemporary) American (Traditional) Catering for Special Events Good Decor Delivery Available Excellent Food For the Young and Young at Heart Good for Younger Kids below $15 Private Parties Private Rooms Available Excellent Service Singles Scene Takeout Available Weekend Dining Wheelchair Access 
5,5A,Lawrence's Cafe,Atlanta,Catering for Special Events Good Decor Dancing Dining Outdoors Entertainment Excellent Food Mediterranean Middle Eastern below $15 Parking/Valet Private Parties Private Rooms Available Quirky Good Service Weekend Dining 
6,6A,Harold's Barbecue,Atlanta,An Historic Spot Bar-B-Q Catering for Special Events Fair Decor Extraordinary Food below $15 Parking/Valet Excellent Service Southern Comfort Wheelchair Access 
7,7A,Zab-E-Lee,Atlanta,An Out Of The Way Find Fair Decor Extraordinary Food $15-$30 Parking/Valet Good Service Thai 
8,8A,The Dessert Place,Atlanta,Catering for Special Events Coffee Shops Excellent Decor Diners Extraordinary Food For the Young and Young at Heart Good for Younger Kids No Smoking Allowed below $15 Parking/Valet Good Service 
9,9A,Cafe Diem,Atlanta,American (Contemporary) Coffee Shops Excellent Decor Diners Dining Outdoors Eclectic Good Food below $15 Parking/Valet Quiet for Conversation Quirky Good Service Weekend Dining 
10,10A,El Charro,Atlanta,Authentic Fair Decor Excellent Food Good for Younger Kids Mexican below $15 Parking/Valet Private Parties Private Rooms Available Good Service Tex-Mex Weekend Dining Wheelchair Access 
11,11A,Kurt's at River Manor,Atlanta,Catering for Special Events Extraordinary Decor Dining Outdoors Extraordinary Food German $15-$30 Parking/Valet Private Parties Private Rooms Available Excellent Service Takeout Available Warm spots by the fire Wheelchair Access 
12,12A,Peggy Sue's Diner,Atlanta,Catering for Special Events Coffee Shops Excellent Decor Diners Dining Outdoors Good Food For the Young and Young at Heart Good for Younger Kids below $15 Parking/Valet Private Parties Private Rooms Available Good Service Weekend Dining Wheelchair Access 
13,13A,Pars,Atlanta,Catering for Special Events Excellent Decor Dancing Delivery Available Entertainment Excellent Food Middle Eastern $15-$30 Parking/Valet Excellent Service Weekend Dining Wheelchair Access 
